FSC-A,SSC-A,FL1-A,FL2-A,FL3-A,FL4-A,FSC-H,SSC-H,FL1-H,FL2-H,FL3-H,FL4-H,Width,Time
21375,2694,1673,117,402,285,62583,6027,2747,118,320,287,41,165
18273,1764,6594,318,373,280,65581,5202,9659,351,163,212,21,165
16884,5560,0,0,396,37,51036,14614,0,0,317,0,22,165
25366,896,0,0,202,0,64247,1673,0,0,121,0,33,165
15121,1342,6545,441,309,132,53868,4407,10835,500,87,59,18,165
20230,0,2293,126,295,67,71914,682,3585,88,105,167,32,165
27690,421,3777,507,262,170,71140,1636,3583,316,202,84,31,165
30088,54,0,293,330,194,78181,1741,0,179,239,186,41,165
13879,9027,2736,315,331,52,47962,20733,6476,360,292,136,29,165
30221,3736,13577,912,847,0,54286,4861,11329,677,588,253,56,165
36502,455,4890,454,547,189,117484,1230,6906,401,262,363,32,165
10739,3430,6387,427,228,226,38271,18118,5075,321,78,229,44,165
15143,5531,1908,163,643,0,34939,12437,2675,48,293,267,29,166
31543,673,5334,486,201,113,100673,2463,6173,326,75,202,36,166
15074,1422,2568,181,178,59,53583,4178,4059,95,0,110,22,166
41839,11935,0,0,582,180,113050,22021,297,11,431,165,33,166
31400,4331,1379,37,366,140,64499,5149,2054,98,115,171,43,166
50556,9276,5196,538,519,158,64365,15497,4575,231,315,274,85,166
11353,5218,844,54,478,132,35962,14482,2093,65,310,146,21,166
24624,8687,19489,1156,286,262,63585,18071,18773,1015,142,252,49,166
40388,2044,3579,361,619,428,99114,4881,4864,236,310,403,36,166
39225,2412,1459,52,288,392,95042,4558,2763,38,168,214,40,166
30470,11393,17372,817,330,79,59428,16558,10732,537,261,144,48,166
6231,5791,1141,107,225,107,21203,15204,3167,148,169,99,21,166
68379,8135,12923,642,345,186,102022,10541,9783,424,180,408,65,166
27084,10164,6452,324,433,229,64608,24079,7625,359,327,165,28,166
6047461,915212,23252,9422,3589,1110,465158,67333,6576,518,413,343,1001,168
27618,4107,3585,256,304,301,66646,6652,3171,114,238,276,63,173
9159,4156,2900,288,202,86,36798,10606,4908,409,181,0,23,175
10206,8139,0,182,604,316,31171,16574,0,141,290,290,31,175
13708,3679,7534,569,150,192,47328,8690,8946,549,68,144,31,175
18195,8993,5853,359,318,423,37054,10372,5938,302,267,357,45,176
24929,8926,3028,489,459,138,41525,12678,2862,336,313,255,45,176
16514,5228,4748,494,163,29,32708,10871,5109,312,78,182,38,176
53398,7518,8550,763,717,150,57531,7246,6519,438,413,248,135,176
104303,4052,220,0,114,114,93095,4311,2824,216,443,287,297,176
28486,11468,1568,498,475,53,47928,15235,1842,146,142,201,65,176
20058,3590,3177,494,415,35,48652,6412,3803,347,253,121,56,176
22745,3339,3745,580,441,0,61262,5212,3182,406,119,3,41,176
35820,1699,0,0,313,279,67733,1983,0,0,185,258,64,177
39060,5343,2781,262,628,314,56527,9213,3142,210,274,440,61,177
23205,2142,7679,480,382,26,68717,5034,9409,565,374,224,34,177
32262,6756,10732,501,807,4,45449,10818,7269,274,479,21,54,177
20032,8408,0,12,0,114,46134,15676,1058,20,0,95,49,177
26845,25,5671,317,354,308,65795,924,4354,282,238,220,55,178
31415,1546,15789,1124,636,305,78014,3556,13619,795,339,265,60,178
10178,6788,3864,468,453,80,27767,15678,4955,293,318,29,33,178
38347,2641,9639,660,277,97,114570,5418,12559,593,103,214,26,178
19958,3108,3019,448,226,388,43858,7605,4862,380,173,320,42,178
12607,4801,4741,264,319,204,37155,10273,5946,232,58,240,25,178
12109,2136,557,84,325,97,48875,5719,1037,20,126,87,21,178
