FSC-A,SSC-A,FL1-A,FL2-A,FL3-A,FL4-A,FSC-H,SSC-H,FL1-H,FL2-H,FL3-H,FL4-H,Width,Time
18296,1241,350,143,324,88,56795,3078,335,95,202,98,27,1596
33224,2970,476,0,205,0,51613,5037,489,23,257,175,81,1597
29617,3290,254,414,574,0,61044,6993,296,205,371,105,45,1598
30073,2182,785,306,465,204,60845,6443,586,166,451,380,38,1599
7139,3173,102,182,322,203,15871,6042,55,143,79,250,25,1599
4713,3497,394,120,348,0,16911,8506,431,71,291,23,22,1599
14164,1220,397,172,334,0,51749,4598,438,99,422,158,36,1600
12197,4950,0,432,181,0,23545,10746,297,328,171,71,42,1600
30280,1796,226,57,37,0,70350,3931,450,4,0,87,41,1602
43810,19990,733,397,321,394,77648,34084,547,264,193,394,44,1602
34752,12950,0,58,502,86,44660,13481,20,79,372,192,53,1603
63951,5512,436,87,402,0,122956,9412,363,135,303,124,50,1603
38847,1268,385,262,534,149,100344,4104,485,157,619,383,31,1604
177758,35350,0,0,0,0,74620,10361,219,38,228,254,202,1604
31357,7196,663,240,0,0,36400,7063,418,169,249,82,93,1608
3564,2986,79,234,451,282,12360,6787,77,146,375,245,20,1609
30515,1165,405,350,225,323,79097,3007,608,209,107,251,33,1609
40673,1456,100,0,118,67,83041,3124,215,26,0,157,33,1610
25659,3412,649,0,0,349,60511,5218,806,0,57,370,42,1610
27435,2423,422,164,429,259,73296,7048,359,197,337,356,28,1612
84808,48735,717,311,385,0,159149,76212,626,272,197,228,48,1614
15003,2250,0,199,258,285,38527,5263,1,194,257,263,32,1614
18584,5285,113,207,337,120,36981,9839,202,145,402,213,36,1615
64292,1672,1126,214,378,0,127608,5131,1025,101,279,148,45,1616
25144,1146,870,196,384,265,74979,4795,740,154,186,274,29,1617
28551,1963,0,178,165,140,68791,2959,123,55,457,234,41,1617
37990,7351,239,594,0,59,36624,6519,236,216,5,270,68,1618
9720,870,0,89,588,0,20454,7668,83,165,261,75,52,1620
7666,1610,527,95,483,261,20543,5510,487,45,451,252,28,1621
20156,2126,0,66,253,155,47116,4274,0,75,51,138,33,1621
6456,3318,34,0,190,198,14520,6168,42,0,45,177,26,1621
14174,2030,428,31,0,62,49801,5020,376,0,112,19,26,1621
11276,983,137,131,546,343,44276,3719,188,24,297,432,21,1624
26331,2217,1014,213,180,194,62859,4801,700,144,185,375,48,1624
43495,2216,144,232,277,110,101594,4964,407,127,224,163,47,1625
22834,2041,425,216,762,113,67652,2905,741,165,309,137,39,1626
57421,3533,350,237,675,0,118144,4646,359,174,478,182,79,1626
36817,3834,85,181,324,0,87510,8147,123,141,265,0,31,1626
56324,3545,42,377,28,506,129295,5435,319,232,51,424,48,1627
53974,4553,399,0,196,156,97987,5712,500,12,214,137,53,1628
28703,3229,314,45,0,344,38454,4977,379,117,295,282,57,1628
28572,1048,563,0,433,129,62858,2396,340,58,370,292,57,1629
80231,1943,1116,563,591,37,166614,4077,836,250,491,107,73,1630
38198,3417,242,321,387,88,86835,6196,438,207,256,203,38,1630
148239,30918,594,3,751,295,59414,10276,627,212,473,284,182,1630
53167,1488,904,137,564,105,80408,3669,657,114,332,246,47,1633
41431,1363,1150,110,400,113,76180,3044,689,200,418,154,71,1635
18252,1757,143,247,22,111,50062,4042,282,98,112,208,43,1638
30633,1236,221,101,514,398,65633,3614,413,151,313,210,35,1639
30262,4144,0,0,0,176,52340,6187,125,164,311,204,66,1640
15287,2266,5,102,256,67,27458,5557,145,92,201,134,43,1641
7216,575,189,155,285,0,48041,3919,214,22,67,0,12,1642
77272,7497,845,235,81,0,52982,3349,610,237,148,199,157,1642
4831,906,260,146,339,25,21888,5635,338,79,140,89,17,1643
1229,2277,146,182,294,283,4550,7702,260,69,281,270,16,1643
26576,4007,708,126,268,192,51469,7331,520,36,237,147,39,1644
