FSC-A,SSC-A,FL1-A,FL2-A,FL3-A,FL4-A,FSC-H,SSC-H,FL1-H,FL2-H,FL3-H,FL4-H,Width,Time
6595,6569,70,205,741,379,10926,8254,159,91,367,442,45,1845
3127,3084,60,134,390,143,13091,7636,0,31,199,126,22,1845
6441,3034,143,172,303,185,23665,7796,78,76,114,66,18,1845
1879,2205,251,125,498,108,8149,7508,356,0,497,41,14,1845
4900,2689,122,90,157,228,16391,6972,97,90,115,253,20,1845
5040,3956,449,213,454,255,15813,7048,367,145,321,389,27,1845
1770,2169,354,126,267,44,8252,7127,381,33,226,3,14,1845
4995,3797,68,129,204,152,15492,8997,260,37,159,167,23,1845
2240,2448,276,253,234,173,9459,6440,241,216,166,118,17,1845
2973,2950,440,178,520,34,7896,6437,400,92,444,0,23,1845
5666,3128,353,173,468,101,14921,6232,424,48,324,66,24,1845
954,2253,168,133,376,120,5021,9372,85,28,337,20,12,1845
1198,1752,110,202,223,271,6881,6825,103,151,0,257,12,1845
85417,6256,511,213,346,104,185951,8898,482,180,369,244,61,1849
27687,7454,6472,565,0,123,53618,10991,5970,447,30,203,50,1851
4298,5335,1,179,441,337,7980,11712,118,76,271,259,31,1855
100499,6755,0,0,505,264,206264,10364,526,44,264,282,61,1858
245268,11091,0,1,184,58,491914,17263,131,43,152,138,67,1860
69136,7972,272,13,768,138,154797,13163,378,152,619,170,59,1862
29417,4557,0,441,324,223,62546,5595,204,206,156,283,62,1867
96569,7111,311,0,376,547,172369,11105,385,0,265,336,69,1871
19072,5784,60,881,0,25,18311,6000,227,364,6,202,88,1876
409134,1064594,830,315,1482,0,159696,393012,531,241,839,306,278,1878
8272,2726,1,207,307,231,17588,7232,168,191,296,151,31,1879
40012,3990,8708,840,532,79,51829,3602,6979,277,415,195,86,1881
359856,13636,96,640,172,108,684544,19272,156,312,242,194,68,1892
11696,4735,0,161,597,194,33765,8116,0,161,335,240,31,1893
78868,15543,931,0,597,0,40084,7038,566,141,407,306,148,1896
1222223,122145,504,0,294,153,469186,40828,508,107,399,362,317,1897
6015,3221,97,167,276,416,14598,5789,64,95,307,347,32,1899
29660,2623,5500,460,201,428,79658,5961,5492,315,71,243,33,1901
16130,1614,269,0,285,201,28865,5238,381,55,82,192,46,1904
2210,1242,245,175,196,192,13250,7207,389,75,0,313,12,1906
17818,7058,211,288,376,105,63377,16875,186,149,167,87,21,1907
39729,2062,819,237,199,149,76395,4304,944,231,431,285,68,1916
46464,691,3663,335,669,35,112762,2054,3362,330,445,243,46,1918
54183,2081,12475,1163,688,594,118112,2536,10128,736,518,443,61,1920
16821,2009,408,80,424,120,47990,4415,711,53,229,341,36,1923
27942,5205,10464,491,751,229,44792,6298,8203,221,518,304,67,1926
204878,11925,517,270,445,0,380419,19085,285,186,196,96,78,1930
5211,1260,208,0,433,219,15580,7393,342,0,232,335,26,1931
9982,1461,215,205,343,92,40648,4406,514,145,538,115,26,1937
16145,2812,0,0,426,52,37805,5226,0,103,346,225,44,1940
46046,3228,6829,760,484,329,83066,5865,5977,475,261,471,44,1940
158703,2888,9339,355,205,225,363482,4232,11799,357,298,298,61,45209
6135825,861132,15459,6479,3303,0,467787,63953,783,386,457,396,1001,45213
3177,2719,0,152,372,137,9993,6174,13,92,212,107,22,45216
99482,21124,634,142,217,156,55083,9096,433,186,311,367,149,45233
40650,3358,366,223,39,367,114179,6411,321,91,0,325,34,45240
34001,2987,628,581,69,519,90925,5195,783,329,83,293,37,45242
43213,5489,3792,302,448,250,140380,10737,4521,195,355,146,32,45242
24201,1127,2466,323,205,262,63620,2137,2389,252,114,284,30,45243
28371,1242,56,226,136,279,69426,2686,26,146,224,205,36,45248
